system_id,latitude,longitude,easting,northing,slope,intercept,rvalue
973,54.3686,-1.299834,445587,497235,3.0988342570290333,412.3285182049964,0.6651329232973975
1364,52.35,-1.54,431430,272536,1.944130346974055,146.837151090923,0.7378260470385336
1556,51.00196,-3.087791,323768,123071,4.08047156280279,91.20713943958276,0.6541076947334117
1883,52.33,-0.07,531613,271965,1.4193068690641384,334.47367242976037,0.652685514500724
2191,51.37,0.55,577594,166523,3.2697110204944018,11.442129106082234,0.733902848670204
2248,51.520353,-1.143516,459522,180506,1.3349337877277825,305.86682796371423,0.7118240933843623
2270,50.816182,0.282965,560919,104331,2.075913433409928,94.45341803370036,0.7808787266795192
2490,51.015477,-0.351157,515756,125304,1.9136031253237384,104.14757205314532,0.7137555174868494
2566,50.93,-2.91,336144,114899,3.443787612324449,70.9512171625712,0.6412396334684891
2672,52.211597,-0.071212,531881,258794,1.6370142463466004,192.83945060767638,0.7550008009477561
2829,52.138429,1.031379,607542,253237,4.253354461440621,93.40650644042489,0.9031884070326713
2871,51.551228,-0.273477,519804,185005,3.655757080687783,-29.55452672917079,0.9506443037831732
2998,51.74,-0.32,516096,205923,3.610202486455073,128.09996705296214,0.7966172737106648
3586,53.279561,-1.6595380000000002,422798,375896,0.9333455455439902,168.45709221096607,0.7383778087150629
3674,52.76,-1.21,453408,318336,2.2975014793683584,184.02510386754318,0.6847103115628841
3764,52.356527,-1.330426,445698,273373,1.902375965866226,67.97899557597862,0.8862451178646963
3801,52.04,-2.44,369916,238047,3.3139366632836103,41.74749843284815,0.6720386472694108
3898,52.291714,0.092018,542775,268014,1.231419873651081,137.36954800135481,0.8423332860360514
4206,52.24,0.11,544169,262298,3.01319650500129,284.4804318179363,0.7022976333380521
4275,52.009182,-0.651935,492623,235385,2.7529964301745586,347.6596933385456,0.8084310551834214
4276,52.551416,-0.216462,521026,296335,1.896632236046419,187.46898281277595,0.7518744284230346
4336,52.023174,-0.7205159999999999,487889,236856,0.8236612496923776,83.92520462836427,0.6841639288129774
4398,51.329156,-1.064402,465282,159310,1.8342053447037936,371.5298880827677,0.6408303529145789
4430,51.750723,-0.335837,514975,207090,1.7050525996448946,272.6603523859102,0.6541800177250058
4431,55.98,-3.38,313986,677194,8.79888770576871,293.6825774163141,0.8471928777634574
4565,51.25,-0.73,488733,150858,2.36050271918521,223.5154103410046,0.6644985545279484
4611,54.45746800000001,-1.093658,458855,507276,3.263224169651701,76.65579200553736,0.645609005282448
4659,52.06,1.18,618092,244952,2.391252553074487,32.03868454386054,0.876832372713459
4708,52.300787,-0.007092,535989,268832,1.9221089420235036,382.0014655351738,0.7484762895022252
4709,51.611588,-0.19188,525295,191854,1.8887631979120318,116.14068238591238,1.0
4740,53.414531,-2.076824,394991,390860,1.0891979467124977,187.20707825915594,0.7290057245347048
4742,50.75,-1.65,424788,94547,3.230820075462594,59.02164049360897,0.709768397718691
4745,51.81,0.82,594497,216134,2.629652227591985,378.0264204400637,0.7003228923572148
4916,53.25,-2.56,362732,372700,1.1880994901014907,181.30846402366842,0.6860569771437696
5001,51.150517,-0.973734,471877,139529,1.2389546673071261,136.4964791303129,0.6880614290126491
5116,51.39,-1.07,464806,166072,25.536610744263303,1349.449512774485,0.7704789000887795
5257,53.36,-1.5,433373,384907,1.7459052218757436,199.85867045791355,0.7159442102342226
5309,51.6,0.52,574626,192025,1.9572043240200268,231.64940759818285,0.803543502198872
5431,51.9,-0.66,492294,223232,2.6354731037491295,232.6627484125362,0.6284962144594567
5492,51.186954,0.278556,559334,145547,0.5663537238412378,163.31970150259414,0.64980166466472
5701,51.850511,0.957286,603776,221014,7.652907804127163,251.1890572097427,0.7781158353344217
5766,51.39,-0.44,508641,166816,3.208197662728715,469.3773152333056,0.7078822941374917
5843,54.608854,-7.274394,59576,536536,2.380815004442391,43.67350250058928,0.6717027114114181
5871,53.349155,-2.122208,391962,383591,2.1514667351800565,101.34217774957358,0.7895148632349659
6005,51.258872,-0.8438190000000001,480774,151713,1.1751437165270358,346.5474406427657,0.6209341772690551
6007,54.93849399999999,-7.1874910000000005,67899,572749,4.009835360402919,334.5572329379081,0.62038761199706
6080,50.93,-0.47,507617,115619,1.8493542026736163,4.449257721564209,0.6334332645956787
6110,52.23,-1.38,442442,259269,1.8575263576572183,252.96846841463298,0.8719024742287319
6113,51.92,-0.25,520448,226054,2.840989178461618,108.5938720841807,0.6940128682783485
6130,53.84,-3.03,332322,438686,1.42029706442452,524.9366524003342,0.6551144601614274
6236,52.252834,0.297632,556934,264115,3.523788658586023,-0.09908982473962169,0.8431546940491369
6241,53.63,-2.42,372322,414912,1.0786943597855156,125.10090659394064,0.9658383089523017
6354,52.980612,-0.965319,469567,343085,1.1336153435710896,15.27415413943288,0.7626847201242611
6462,50.92,-1.36,445083,113588,3.3363143359920278,246.05694398190315,0.7075424306721797
6480,52.995034,-0.991097,467813,344665,0.7477503361060093,113.15278433318605,0.7055052800748347
6633,51.37,0.5,574114,166403,1.9092820289548778,298.2478228845553,0.607058097789549
6870,53.686145,-2.333505,378071,421128,2.142133711178621,358.4412258153712,0.7743352744756835
6964,51.51,-0.61,496559,179923,1.1266959876336584,235.86804149498784,0.7097777434829262
7797,53.68699,-2.333946,378043,421222,1.9036165426438125,345.81010128698836,0.6756418474726776
8745,51.77,-0.29,518089,209307,1.6523382644913849,200.79510693833174,0.7998326640518395
8893,52.18,1.32,627076,258723,2.7751963029863416,276.57146069421344,0.6535289924416602
8921,52.357517,-1.207279,454084,273568,1.6320900346054605,225.32127422216377,0.6688744242775878
9750,55.0,-1.51,431443,567379,0.6262785711378449,35.186663796294994,0.7987764052717701
9831,50.92,-0.15,530132,115022,2.7160142495443718,301.6784289970641,0.7441147256897621
10003,51.803847,-0.871073,477937,212291,0.1404519937012902,23.054182265197703,0.7141264117512723
10020,53.87078,-0.459825,501367,442718,3.1036389168095644,519.4179333438208,0.7577060869408645
10033,51.018231,-0.449101,508880,125461,2.8750134432556886,252.25397686993233,0.6657228070815387
10041,51.721128,-0.199613,524459,204022,1.5974240072648969,220.47689066637287,0.6425738889080387
10903,51.123457,-3.930696,264981,137792,2.714799615548944,93.50736179464047,0.8731813313702339
11225,51.89,-0.16,526721,222871,1.5312892379401835,158.32120048787783,0.6695920128138665
11542,51.65,-0.27,519785,195995,18.974187048743318,5646.251869860988,0.6273322772925253
12322,55.86,-3.66,296196,664225,4.206039326270041,142.25827988781566,0.7576402495322082
12570,54.412528,-1.262841,447940,502147,4.326450159141137,-7.095519159127662,0.857576377621969
12756,53.385613,-1.3686969999999998,442086,387826,3.640818980634714,462.96897805856315,0.7804959800788631
12896,51.41,-0.05,535716,169690,1.613886525102167,329.88801307517525,0.636393986183689
13044,51.43,-1.99,400791,170110,3.301768354971684,-89.71274754292301,0.7090343257684185
13152,51.81454,-0.29493600000000003,517632,214253,3.345122026911016,64.07336787126769,0.8075488599270131
13656,51.231409,-0.8071020000000001,483385,148700,3.015439838435551,248.45822983119842,0.6797985161825554
14985,51.56,-1.83,411881,184582,2.146817897881729,15.89973149665775,0.6882669089828055
15428,51.182912,0.271813,558876,145083,1.8880207158892683,47.00240641008088,0.7760010474956948
15709,53.2,-1.42,438842,367148,0.5689701792214538,178.23160969206748,0.6763688895571686
16241,50.802645,-4.457504,226929,103222,4.4261965482416,-8.074136340354471,0.8397497803247209
17219,52.13,-0.24,520570,249426,1.8827578616528673,450.4358005527347,0.635063144468388
17559,52.64894200000001,1.717683,651572,312178,2.405575183441381,57.29226020852707,0.6058435894570475
18320,52.76,-1.19,454758,318351,1.7956434348288108,237.931122022596,0.7103205331739201
18465,52.77,-0.37,510066,320401,2.6925583794855315,162.82471310990843,0.7485235589003225
18468,51.485329,-0.967526,471787,176769,2.467016792273845,175.9527585407244,0.6891751014062659
18695,51.39,0.48,572647,168580,1.3823244948188231,314.2210652974349,0.7896978338193996
18750,53.85,-2.16,389571,439319,3.136744533041525,108.25237585061791,0.9479949903293905
20351,52.279978,-0.110778,528980,266328,2.313661304876142,161.1121572458519,0.8658411174094257
20860,51.553275,-1.670611,422934,183872,1.9680759342074337,-14.664847142792041,0.60932733033673
20973,52.36,-1.3,447767,273779,3.2466364810741974,-55.62967490945948,0.9437676928334713
21153,52.91,-0.64,491557,335595,1.427802710818724,179.2667183448071,0.680860265797358
24317,53.82,-1.45,436306,436109,3.6189851008506473,326.4947153078032,0.6861754243080889
24379,51.19,0.07,544751,145455,2.0954488556416493,635.1982029912604,0.6081828647228092
24565,52.22,-1.59,428106,258055,2.6934273178792467,309.70856415891944,0.6015821938044706
25797,51.887786,-0.494743,503691,222095,2.2990040564380148,86.21775629540173,0.6954900689231885
25802,51.58,0.6,580244,189995,1.8322437712373376,310.11848114107465,0.7161672456391828
26558,51.58,0.6,580244,189995,3.031965890061724,113.16988363879284,0.759573623761707
26572,50.361021,-4.361065,232159,53900,2.079853334294751,380.21233149743006,0.6908385583893043
26965,51.36,0.59,580417,165509,41.844124496438816,8651.211670343624,0.701846763504121
27003,52.146348,-0.8530040000000001,478582,250404,1.392512302332243,101.98739326661882,0.7341457671756844
27032,54.52,-1.23,449940,514128,2.6896975199353967,55.77889852256203,0.792494153380017
27204,52.122387,-0.386354,510571,248346,2.4025394091581327,493.5795211713969,0.6033426331448987
27693,51.56,0.57,578244,187698,2.1717919367559935,213.83155155016232,0.7696777690032438
27768,51.52,0.44,569383,182942,1.9234400038535018,-4.334552724396644,0.9037563760005066
28021,52.03,-0.74,486539,237592,2.970314516373774,162.69055128942443,0.700469367437177
29273,51.57,0.47,571276,188571,1.6890541699348691,225.04544511320603,0.6123251774250276
30248,53.78,-1.05,462698,431937,1.8870579809679722,390.3060395777588,0.6943424455020264
30872,52.059894,1.240772,622258,245124,2.8662287225240743,-0.5745639970679122,0.7626502052850368
31707,52.38,-2.0,400096,275773,2.74751248159772,98.376278523304,0.6667746070124102
31855,53.56,-1.51,432555,407153,2.521470395626407,527.6782008780626,0.6180702679979616
31953,55.13,-2.25,384157,581765,4.993021937876402,557.1553348039924,0.6137007839095086
31970,51.945568,-1.385417,442340,227630,1.816537115931016,124.18899857798704,0.6800332702639897
33130,51.32,-1.78,415427,157900,1.7963956053980252,61.54917394191028,0.7332339690703451
33422,52.19,-0.42,508104,255816,2.1771158041821264,250.4060150343896,0.6150315408541683
33485,55.94,-3.27,320768,672611,2.560572064338331,128.11921574965703,0.7050789862243401
33558,51.73,-1.21,454657,203771,2.579941061347046,52.00750027263348,1.0
33771,52.33,-0.07,531613,271965,3.351786796935498,-38.20411356376712,0.8273477717420477
33929,51.36414,-0.528883,502514,163812,1.4960515846494122,234.62556248993621,0.6422698681318931
34337,51.75,-0.48,505026,206793,4.705313154056411,3.454381166417761,0.7371288530336723
34379,54.53,-1.57,427925,515053,2.80238843974108,168.42396484062948,0.9412746142898311
34535,51.72,0.58,578309,205513,4.459798874329101,-69.91292668665028,0.8759020671341349
34828,53.752182,-0.733468,483610,429168,1.0019345563759645,-5.414739431548838,0.84499185478385
34920,53.11,-1.26,449633,357234,1.969838326411609,298.05648297453797,0.7648186441409698
34973,52.44,-1.56,430007,282538,3.0101012884015903,-1.266996223283627,0.8750475507000994
35931,50.880502,0.573477,581132,112155,0.464184518767396,109.0197297008929,0.7053034371378496
36019,53.468196,-0.727466,484571,397582,2.2620479344997544,411.84749271078726,0.7287696458774194
36056,53.25,-0.5,500180,373603,1.09263005757531,129.38604222063464,0.8061812897855628
36091,53.85,-1.52,431675,439413,2.0751943278707645,49.27183687429124,0.8801485922685549
36154,51.46,0.14,548766,175618,3.183488842580404,80.99764615414892,0.8886239868705069
36338,50.1,-5.28,165531,27365,2.6764546934994486,-15.400906480818207,0.7632552037801498
36482,55.83,-3.05,334324,660139,3.633113389735462,21.683324979335566,0.6524464946832081
36538,50.68,-4.68,210759,90132,0.5945575059811555,137.22577698188817,0.7491936779779143
36566,51.607447,-0.003836,538327,191732,2.574168760084379,277.3699584157587,0.844939093764534
36582,52.77,-0.37,510066,320401,1.6257692166565765,475.07488117599144,0.6555879568617295
36968,51.891165,-2.096395,393462,221405,0.49537206965146796,91.99261929634815,0.8691526601942962
37021,50.93,-2.91,336144,114899,1.0369963911630404,86.98515112620441,0.6959254831676311
37029,51.325951,-0.723691,489026,159311,0.5625156570495368,23.949933742789824,0.9913339672569862
37032,50.35,-4.71,207299,53521,0.7968580945776053,111.72095308689582,0.7573117494836531
37130,51.27,1.21,624012,157211,1.3196196630300208,-31.59188395526087,0.8649192241704879
37252,52.26,-0.84,479270,263059,1.5198490475054693,63.46380161577508,0.7613155714299782
37507,51.84,-5.06,189295,220139,1.0546975193530488,242.35737593068123,0.6831273100982338
37699,50.34,-3.58,287662,50091,6.881525869515073,-59.40970410475734,0.7277902069791198
38020,54.55,-1.25,448610,517452,3.4658679859167436,55.099293864688605,0.9985330732723943
38067,50.25,-4.95,189787,43054,4.081283299604684,174.25183388773723,0.7267736442934716
38587,51.58,-4.05,258052,188784,2.8753463849856655,245.6320403798445,0.8537043209040548
38754,51.36,0.59,580417,165509,3.1759633044514253,-103.39383877575676,0.8382012603518106
38895,52.8,-0.16,524148,324079,1.2801623078680222,271.98796902708654,0.721288442398651
38924,52.43,-1.94,404176,281337,2.830098939427283,-35.16285590277721,0.8264280653390668
39381,53.036929,0.024035,535811,350765,1.5930174663818146,354.601172640115,0.7181155955970987
39417,56.2,-3.43,311374,701742,11.961803140711003,149.93886587843133,0.9924204057725307
39475,51.3,-0.94,473996,156186,5.339444026304107,851.0049140974454,0.6784574393079792
39706,52.30048,-0.071381,531607,268679,2.988413769350082,247.02386841360726,0.7103345304855839
39885,51.91,-0.19,524602,225043,1.2589352715253657,-2.6756906012477657,0.9377190700953297
39920,51.49041500000001,-0.983276,470686,177319,1.9053184643233638,143.04065481295515,0.6972631510940013
